"Figure 3. Areas Affected by Marine Heat Waves by U.S. Coastal Region, 1982-2023",,,,,,,,,,,,,,,,,,,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: NOAA, 2024",,,,,,,,,,,,,,,,,,,,,,,,
Web update: June 2024,,,,,,,,,,,,,,,,,,,,,,,,
Units: percent area (%),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Year,West Coast Moderate,West Coast Strong,West Coast Severe,West Coast Extreme,Gulf of America Moderate,Gulf of America Strong,Gulf of America Severe,Gulf of America Extreme,Southeast Moderate,Southeast Strong,Southeast Severe,Southeast Extreme,Northeast Moderate,Northeast Strong,Northeast Severe,Northeast Extreme,Alaska Moderate,Alaska Strong,Alaska Severe,Alaska Extreme,Hawaii Moderate,Hawaii Strong,Hawaii Severe,Hawaii Extreme
1982,47.84514244,8.619430241,0,0,21.53539382,64.80558325,10.46859422,0.498504487,30,63.1884058,2.028985507,0.579710145,48.89753567,14.39688716,0,0,26.82234832,23.30859887,5.93627237,7.802269751,15.35836177,14.81797497,2.929465301,0.767918089
1983,27.75748722,61.28560993,2.19138057,0,37.28813559,14.25722832,0.299102692,0,24.92753623,58.4057971,11.15942029,2.028985507,43.83916991,30.22049287,3.761348898,0,40.61545177,33.39153208,5.172413793,1.320384112,35.83617747,9.044368601,2.929465301,0
1984,49.2330168,29.29145362,2.045288532,0,41.97407777,10.36889332,0.099700897,0,40.57971014,47.39130435,0.869565217,0,60.57068742,30.47989624,2.853437095,0.129701686,42.74334352,33.86075949,8.729812309,0.250982104,34.86916951,57.79294653,5.972696246,0.056882821
1985,24.17823229,3.433162893,0,0,67.49750748,1.49551346,0,0,41.15942029,22.17391304,3.623188406,0.434782609,55.1232166,32.6848249,1.815823606,0,43.90004365,20.4604976,3.601047577,0.218245308,27.04778157,1.962457338,0,0
1986,71.95032871,11.541271,0,0,66.20139581,18.14556331,0,0,57.53623188,33.91304348,0.724637681,0,52.78858625,23.86511025,2.723735409,0,59.01353121,19.42383239,1.505892623,0.130947185,26.39362912,21.35949943,0.82480091,0
1987,65.66837107,12.92914536,0.219138057,0,43.66899302,3.090727817,0,0,50.86956522,45.07246377,0,0,38.52140078,6.744487678,0,0,52.38978612,11.71977302,0.872981231,0,48.00910125,23.06598407,3.185437998,0.056882821
1988,29.65668371,11.02994887,0,0,17.34795613,0.598205384,0,0,18.4057971,0,0,0,32.55512322,4.798962387,0.129701686,0,33.95896988,5.750763859,0.70929725,0.883893496,60.72241183,36.83162685,0.853242321,0
1989,63.33089847,13.51351351,0.365230095,0,67.29810568,12.66201396,0,0,54.92753623,6.811594203,0,0,57.32814527,17.12062257,0.648508431,0,41.7394151,17.16499345,6.132693147,2.69532955,62.7701934,14.44823663,0.255972696,0
1990,68.59021183,22.64426589,1.168736304,0,63.21036889,21.93419741,0,0,68.55072464,9.420289855,0,0,63.81322957,20.23346304,2.853437095,0.259403372,40.26625928,13.47664775,1.571366216,0.752946312,27.3890785,1.535836177,0,0
1991,23.37472608,0.803506209,0,0,56.92921236,15.45363908,0.299102692,0,50,30.43478261,2.898550725,0,54.47470817,20.36316472,2.464332036,0.778210117,43.97642951,16.84853776,3.208206024,0.218245308,36.51877133,20.59158134,0.682593857,0
