"Figure 4. Marine Heat Wave Intensity and Duration at Five Marine Protected Areas, 1982-2023",,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,
"Data source: NOAA, 2024",,,,,,
Web update: June 2024,,,,,,
"Units: duration (days), intensity (degrees F), severity",,,,,,
,,,,,,
event_no,duration,date_start,date_end,intensity_mean,severity,marine_protected_area
1,7,12/20/1982,12/26/1982,2.8348,I Moderate,Olympic Coast National Marine Sanctuary
2,5,1/23/1983,1/27/1983,2.77,I Moderate,Olympic Coast National Marine Sanctuary
3,5,2/4/1983,2/8/1983,2.3124,I Moderate,Olympic Coast National Marine Sanctuary
4,13,2/14/1983,2/26/1983,2.8834,I Moderate,Olympic Coast National Marine Sanctuary
5,35,3/2/1983,4/5/1983,2.9915,I Moderate,Olympic Coast National Marine Sanctuary
6,5,4/27/1983,5/1/1983,3.0569,I Moderate,Olympic Coast National Marine Sanctuary
7,7,7/6/1983,7/12/1983,3.1109,I Moderate,Olympic Coast National Marine Sanctuary
8,7,11/2/1983,11/8/1983,2.4248,I Moderate,Olympic Coast National Marine Sanctuary
9,14,11/16/1983,11/29/1983,2.3233,I Moderate,Olympic Coast National Marine Sanctuary
10,14,11/13/1987,11/26/1987,2.429,I Moderate,Olympic Coast National Marine Sanctuary
11,11,4/29/1989,5/9/1989,3.63,II Strong,Olympic Coast National Marine Sanctuary
12,8,7/4/1990,7/11/1990,2.9529,I Moderate,Olympic Coast National Marine Sanctuary
13,29,9/1/1990,9/29/1990,4.3359,II Strong,Olympic Coast National Marine Sanctuary
14,20,2/24/1992,3/14/1992,3.0976,I Moderate,Olympic Coast National Marine Sanctuary
15,16,3/21/1992,4/5/1992,3.1456,II Strong,Olympic Coast National Marine Sanctuary
16,13,4/11/1992,4/23/1992,2.5002,I Moderate,Olympic Coast National Marine Sanctuary
17,6,5/2/1992,5/7/1992,2.6214,I Moderate,Olympic Coast National Marine Sanctuary
18,11,6/28/1992,7/8/1992,3.5789,I Moderate,Olympic Coast National Marine Sanctuary
19,28,5/23/1993,6/19/1993,4.2405,II Strong,Olympic Coast National Marine Sanctuary
20,32,7/31/1994,8/31/1994,4.9692,II Strong,Olympic Coast National Marine Sanctuary
21,5,9/26/1994,9/30/1994,3.1816,I Moderate,Olympic Coast National Marine Sanctuary
22,6,3/17/1995,3/22/1995,2.7936,I Moderate,Olympic Coast National Marine Sanctuary
23,12,7/17/1995,7/28/1995,3.9205,II Strong,Olympic Coast National Marine Sanctuary
24,9,9/10/1995,9/18/1995,3.8959,I Moderate,Olympic Coast National Marine Sanctuary
25,9,10/13/1995,10/21/1995,2.7883,I Moderate,Olympic Coast National Marine Sanctuary
26,14,12/13/1995,12/26/1995,2.5679,I Moderate,Olympic Coast National Marine Sanctuary
27,9,1/6/1996,1/14/1996,2.8852,I Moderate,Olympic Coast National Marine Sanctuary
28,41,5/23/1997,7/2/1997,3.8776,II Strong,Olympic Coast National Marine Sanctuary
29,11,7/6/1997,7/16/1997,3.3133,I Moderate,Olympic Coast National Marine Sanctuary
30,9,7/29/1997,8/6/1997,3.3629,I Moderate,Olympic Coast National Marine Sanctuary
31,119,8/28/1997,12/24/1997,3.9866,II Strong,Olympic Coast National Marine Sanctuary
32,10,12/29/1997,1/7/1998,2.636,I Moderate,Olympic Coast National Marine Sanctuary
33,78,1/14/1998,4/1/1998,3.6758,II Strong,Olympic Coast National Marine Sanctuary
34,8,4/28/1998,5/5/1998,2.6828,I Moderate,Olympic Coast National Marine Sanctuary
35,6,7/25/1998,7/30/1998,3.931,I Moderate,Olympic Coast National Marine Sanctuary
36,22,8/7/1998,8/28/1998,3.8508,I Moderate,Olympic Coast National Marine Sanctuary
37,16,11/26/1998,12/11/1998,2.2707,I Moderate,Olympic Coast National Marine Sanctuary
38,53,12/15/2002,2/5/2003,2.7741,I Moderate,Olympic Coast National Marine Sanctuary
39,6,7/9/2003,7/14/2003,3.0152,I Moderate,Olympic Coast National Marine Sanctuary
40,15,5/12/2004,5/26/2004,3.2566,I Moderate,Olympic Coast National Marine Sanctuary
41,6,5/31/2004,6/5/2004,3.3491,I Moderate,Olympic Coast National Marine Sanctuary
42,7,6/22/2004,6/28/2004,2.9882,I Moderate,Olympic Coast National Marine Sanctuary
43,6,7/18/2004,7/23/2004,3.1751,I Moderate,Olympic Coast National Marine Sanctuary
44,13,5/5/2005,5/17/2005,2.7297,I Moderate,Olympic Coast National Marine Sanctuary
45,11,10/13/2005,10/23/2005,2.8009,I Moderate,Olympic Coast National Marine Sanctuary
46,8,10/27/2005,11/3/2005,2.3085,I Moderate,Olympic Coast National Marine Sanctuary
47,21,1/2/2006,1/22/2006,2.8616,I Moderate,Olympic Coast National Marine Sanctuary
48,5,4/7/2006,4/11/2006,2.263,I Moderate,Olympic Coast National Marine Sanctuary
49,8,7/21/2007,7/28/2007,3.3062,I Moderate,Olympic Coast National Marine Sanctuary
50,5,2/8/2010,2/12/2010,2.5474,I Moderate,Olympic Coast National Marine Sanctuary
51,6,3/3/2010,3/8/2010,2.7048,I Moderate,Olympic Coast National Marine Sanctuary
52,9,10/8/2011,10/16/2011,2.5459,I Moderate,Olympic Coast National Marine Sanctuary
53,6,12/1/2012,12/6/2012,2.3427,I Moderate,Olympic Coast National Marine Sanctuary
54,5,6/20/2013,6/24/2013,3.3402,I Moderate,Olympic Coast National Marine Sanctuary
55,9,6/29/2013,7/7/2013,3.9923,II Strong,Olympic Coast National Marine Sanctuary
56,30,8/31/2013,9/29/2013,4.8345,II Strong,Olympic Coast National Marine Sanctuary
57,29,4/30/2014,5/28/2014,4.341,II Strong,Olympic Coast National Marine Sanctuary
58,48,9/26/2014,11/12/2014,4.7789,II Strong,Olympic Coast National Marine Sanctuary
59,43,11/21/2014,1/2/2015,3.7949,II Strong,Olympic Coast National Marine Sanctuary
60,5,1/6/2015,1/10/2015,3.5956,I Moderate,Olympic Coast National Marine Sanctuary
61,47,1/14/2015,3/1/2015,3.4507,II Strong,Olympic Coast National Marine Sanctuary
62,44,3/9/2015,4/21/2015,2.8635,I Moderate,Olympic Coast National Marine Sanctuary
63,26,7/4/2015,7/29/2015,3.0655,I Moderate,Olympic Coast National Marine Sanctuary
64,7,8/10/2015,8/16/2015,3.0331,I Moderate,Olympic Coast National Marine Sanctuary
65,65,9/20/2015,11/23/2015,3.7987,II Strong,Olympic Coast National Marine Sanctuary
66,15,12/3/2015,12/17/2015,2.7188,I Moderate,Olympic Coast National Marine Sanctuary
67,59,1/15/2016,3/13/2016,3.1005,I Moderate,Olympic Coast National Marine Sanctuary
68,38,3/28/2016,5/4/2016,3.4795,III Severe,Olympic Coast National Marine Sanctuary
69,8,7/18/2016,7/25/2016,3.4431,I Moderate,Olympic Coast National Marine Sanctuary
70,38,10/28/2016,12/4/2016,3.7176,II Strong,Olympic Coast National Marine Sanctuary
71,12,1/21/2018,2/1/2018,2.445,I Moderate,Olympic Coast National Marine Sanctuary
72,6,6/17/2018,6/22/2018,3.62,I Moderate,Olympic Coast National Marine Sanctuary
73,8,1/22/2019,1/29/2019,2.5666,I Moderate,Olympic Coast National Marine Sanctuary
74,9,4/8/2019,4/16/2019,2.1262,I Moderate,Olympic Coast National Marine Sanctuary
75,48,6/29/2019,8/15/2019,3.8825,II Strong,Olympic Coast National Marine Sanctuary
