category,date,description,amount,total
Auto Services,09/19,MERCEDES-BENZ OF BURLI,292.81,327.81
Auto Services,10/11,FRANKS AUTO INSPECTION,35.00,327.81
Auto Supplies,05/28,AUTOZONE #5138,37.18,37.18
Education,06/03,Pearsonplus.com,7.43,22.29
Education,08/05,Pearsonplus.com,7.43,22.29
Education,09/06,Pearsonplus.com,7.43,22.29
Electronics,09/12,BEST BUY,28.68,118.03
Electronics,10/23,BEST BUY,89.35,118.03
Fees,04/15,SEC OF MA EXPEDITED FE,10.00,112.20
Fees,04/15,SEC OF MA FILING FEE,100.00,112.20
Fees,11/18,ICI*FEE BOSTON WEB PMT,1.10,112.20
Fees,11/18,ICI*FEE BOSTON WEB PMT,1.10,112.20
Government Services,05/27,CITY OF NEWBURYPORT,1.50,352.20
Government Services,07/25,TBI,290.70,352.20
Government Services,11/18,RMV E-SERVICES,60.00,352.20
Home Improvement,09/23,LOWES #02723,32.08,478.19
Home Improvement,09/27,LOWES #02723,110.87,478.19
Home Improvement,09/30,LOWES #02723,109.40,478.19
Home Improvement,10/04,THE HOME DEPOT #2614,33.09,478.19
Home Improvement,11/06,LOWES #01914,190.19,478.19
Home Improvement,11/25,THE HOME DEPOT #2674,2.56,478.19
Insurance,07/12,ASI / PROGRESSIVE,877.00,3809.15
Insurance,07/15,HARTFORD INS. PREMIUM,1813.00,3809.15
Insurance,08/19,GEICO *AUTO,1119.15,3809.15
Legal Services,11/18,AFP*Tsizer Law P C,185.40,185.40
Office Supplies,01/15,STAPLES,19.11,19.11
Online Shopping,07/03,AMZN Mktp US,112.63,308.46
Online Shopping,08/07,p.com,127.49,308.46
Online Shopping,09/10,AMZN Mktp US,52.12,308.46
Online Shopping,09/10,AMAZON MKTPL,16.22,308.46
Parking,04/18,PARKING METERS PILOT P,4.25,247.75
Parking,04/25,PARKING METERS PILOT P,4.25,247.75
Parking,07/02,OPS*52 MAIN ST,4.00,247.75
Parking,07/09,OPS*52 MAIN ST,2.00,247.75
Parking,07/09,OPS*52 MAIN ST,4.00,247.75
Parking,07/22,OPS*52 MAIN ST,4.00,247.75
Parking,07/29,OPS*52 MAIN ST,2.00,247.75
Parking,08/05,OPS*52 MAIN ST,6.00,247.75
Parking,08/12,OPS*52 MAIN ST,2.00,247.75
Parking,08/26,PARKWHIZ, INC.,90.00,247.75
Parking,08/30,OPS*52 MAIN ST,6.00,247.75
Parking,09/03,OPS*52 MAIN ST,4.00,247.75
Parking,09/09,OPS*52 MAIN ST,4.00,247.75
Parking,09/16,OPS*52 MAIN ST,6.00,247.75
Parking,09/16,OPS*52 MAIN ST,2.00,247.75
Parking,09/30,OPS*52 MAIN ST,4.00,247.75
Parking,10/14,PARKING METERS PILOT P,4.00,247.75
Parking,10/18,OPS*52 MAIN ST,4.00,247.75
Parking,10/21,OPS*52 MAIN ST,2.00,247.75
Parking,10/21,PARKING METERS PILOT P,4.25,247.75
Parking,10/28,OPS*52 MAIN ST,6.00,247.75
Parking,10/31,LAZ PKG L05236-FLOWBIR,4.00,247.75
Parking,11/04,OPS*52 MAIN ST,2.00,247.75
Parking,11/18,BOSTON PARKING TICKETS,40.00,247.75
Parking,11/18,BOSTON PARKING TICKETS,40.00,247.75
Parking,11/18,OPS*52 MAIN ST,6.00,247.75
Parking,11/19,LAZ PKG L05236-FLOWBIR,2.00,247.75
Parking,12/11,OPS*52 MAIN ST,4.00,247.75
Payment,02/27,Online payment from CHK 4564,-2006.00,-3857.00
Payment,04/01,Online payment from CHK 4564,-206.00,-3857.00
Payment,04/10,Online payment from CHK 4564,-875.00,-3857.00
Payment,05/09,Online payment from CHK 4564,-100.00,-3857.00
Payment,05/20,Online payment from CHK 4564,-470.00,-3857.00
Payment,05/24,Online payment from CHK 4564,-200.00,-3857.00
Postage,04/15,USPS PO,0.68,0.68
Recreation,07/08,NH STATE PARKS METERS,9.25,9.25
Retail,06/10,FIVE BELOW 8050,5.31,98.85
Retail,07/24,DOLLAR TREE,5.31,98.85
Retail,08/19,DOLLAR TREE,5.31,98.85
Retail,08/26,DOLLAR TREE,2.66,98.85
Retail,09/09,DOLLAR TREE,5.31,98.85
Retail,09/09,DOLLAR TREE,3.98,98.85
Retail,09/16,BUNKER-HILL-CC-BKSTORE,57.18,98.85
Retail,09/16,DOLLAR TREE,3.98,98.85
Retail,11/11,DOLLAR TREE,3.98,98.85
Shipping,11/19,THE UPS STORE 4423,25.32,25.32
Transportation,02/08,UBER,33.38,67.37
Transportation,05/03,LYFT,33.99,67.37
Travel,02/05,DELTA,232.60,502.76
Travel,02/12,Trip.com,87.06,502.76
Travel,02/12,DELTA,183.10,502.76
Utilities,04/29,G MELLO DISPOSAL CORP,258.00,258.00
Web Services,12/05,DNH*GODADDY#3448568724,22.17,22.17
