Movie_Title,Release_Date,Genre,,Director,Cast,Budget,BoxOfficeRevenue
10 Cloverfield Lane,3/8/2016,Thriller,,Dan Trachtenberg,Mary Elizabeth Winstead,"$15,000,000.00 ","$108,300,000.00 "
13 Hours: The Secret Soldiers of Benghazi,1/15/2016,Action,,Michael Bay,James Badge Dale,"$45,000,000.00 ","$69,400,000.00 "
2 Guns,8/2/2013,Action,,Baltasar Kormákur,Mark Wahlberg,"$61,000,000.00 ","$131,900,000.00 "
21 Jump Street,3/16/2012,Comedy,,Phil Lord,Jonah Hill,"$55,000,000.00 ","$201,500,000.00 "
22 Jump Street,6/4/2014,Action,,Phil Lord,Channing Tatum,"$84,500,000.00 ","$331,300,000.00 "
300: Rise of an Empire,3/4/2014,Action,,Noam Murro,Rodrigo Santoro,"$110,000,000.00 ","$337,600,000.00 "
42,4/12/2013,Biography,,Brian Helgeland,Harrison Ford,"$40,000,000.00 ","$97,500,000.00 "
71,2/7/2014,Action,,Yann Demange,Jack O'Connell,"$8,100,000.00 ","$2,900,000.00 "
90 Minutes in Heaven,9/11/2015,Drama,,Michael Polish,Hayden Christensen,"$5,000,000.00 ","$4,800,000.00 "
A Good Day to Die Hard,2/14/2013,Action,,John Moore,Bruce Willis,"$92,000,000.00 ","$304,700,000.00 "
A Haunted House,1/11/2013,Comedy,,Michael Tiddes,Marlon Wayans,"$2,500,000.00 ","$60,100,000.00 "
A Haunted House 2,4/18/2014,Comedy,,Michael Tiddes,Marlon Wayans,"$4,000,000.00 ","$24,000,000.00 "
A Long Way Down,2/10/2014,Comedy,,Pascal Chaumeil,Toni Collette,"$22,700,000.00 ","$7,100,000.00 "
A Most Violent Year,11/6/2014,Action,,J. C. Chandor,Oscar Isaac,"$20,000,000.00 ","$12,000,000.00 "
A Most Wanted Man,1/19/2014,Thriller,,Anton Corbijn,Philip Seymour Hoffman,"$15,000,000.00 ","$36,200,000.00 "
A Thousand Words,3/9/2012,Comedy,,Brian Robbins,Eddie Murphy,"$40,000,000.00 ","$22,000,000.00 "
A Walk Among the Tombstones,9/19/2014,Crime,,Scott Frank,Liam Neeson,"$28,000,000.00 ","$58,800,000.00 "
A Walk in the Woods,1/23/2015,Adventure,,Ken Kwapis,Robert Redford,"$8,000,000.00 ","$36,000,000.00 "
Abraham Lincoln: Vampire Hunter,6/22/2012,Horror,,Timur Bekmambetov,Benjamin Walker,"$99,500,000.00 ","$116,400,000.00 "
After Earth,5/31/2013,Sci-Fi,,M. Night Shyamalan,Jaden Smith,"$130,000,000.00 ","$243,800,000.00 "
Ain't Them Bodies Saints,8/16/2013,Drama,,David Lowery,Casey Affleck,"$4,000,000.00 ","$1,000,000.00 "
Alex Cross,10/19/2012,Crime,,Rob Cohen,Tyler Perry,"$35,000,000.00 ","$34,600,000.00 "
Aloha,5/27/2015,Romance,,Cameron Crowe,Bradley Cooper,"$52,000,000.00 ","$26,300,000.00 "
Alvin and the Chipmunks: The Road Chip,12/18/2015,Comedy,,Walt Becker,Jason Lee,"$90,000,000.00 ","$234,800,000.00 "
American Reunion,4/6/2012,Comedy,,Jon Hurwitz,Alyson Hannigan,"$50,000,000.00 ","$235,000,000.00 "
American Sniper,11/11/2014,Drama,,Clint Eastwood,Bradley Cooper,"$58,800,000.00 ","$547,400,000.00 "
American Ultra,8/21/2015,Action,,Nima Nourizadeh,Jesse Eisenberg,"$28,000,000.00 ","$27,100,000.00 "
Amy,6/16/2015,Biography,,Asif Kapadia,Amy Winehouse,"$3,400,000.00 ","$22,000,000.00 "
Annabelle,9/26/2014,Horror,,John R. Leonetti,Annabelle Wallis,"$6,500,000.00 ","$256,900,000.00 "
Annie,12/7/2014,Comedy,,Will Gluck,Quvenzhané Wallis,"$65,000,000.00 ","$133,800,000.00 "
Ant-Man,6/29/2015,Action,,Peyton Reed,Paul Rudd,"$130,000,000.00 ","$519,400,000.00 "
Argo,10/12/2012,Drama,,Ben Affleck,Ben Affleck,"$44,500,000.00 ","$232,300,000.00 "
"As Above, So Below",8/29/2014,Horror,,John Erick Dowdle,Drew Dowdle (screenplay)Perdita Weeks,"$5,000,000.00 ","$5,000,000.00 "
Bad Moms,7/29/2016,Comedy,,Jon Lucas,Mila Kunis,"$20,000,000.00 ","$124,200,000.00 "
Barbershop: The Next Cut,4/15/2016,Comedy,,Malcolm D. Lee,Ice Cube,"$20,000,000.00 ","$55,000,000.00 "
Batman v Superman: Dawn of Justice,3/19/2016,Action,,Zack Snyder,Ben Affleck,"$250,000,000.00 ","$872,700,000.00 "
Batman: The Killing Joke,7/25/2016,Action,,Sam Liu,Kevin Conroy,"$3,500,000.00 ","$4,400,000.00 "
Battle of the Year,9/20/2013,Musical,,Benson Lee,Josh Holloway,"$20,000,000.00 ","$16,500,000.00 "
Battleship,5/18/2012,Action,,Peter Berg,Alexander Skarsgård,"$220,000,000.00 ","$303,000,000.00 "
Beasts of the Southern Wild,6/27/2012,Drama,,Benh Zeitlin,Quvenzhané Wallis,"$1,800,000.00 ","$21,900,000.00 "
Beautiful Creatures,2/14/2013,Fantasy,,Richard LaGravenese,Viola Davis,"$60,000,000.00 ","$60,100,000.00 "
Before I Go to Sleep,9/4/2014,Mystery,,Rowan Joffé,Nicole Kidman,"$22,000,000.00 ","$15,100,000.00 "
Ben-Hur,8/19/2016,Adventure,,Timur Bekmambetov,Jack Huston,"$100,000,000.00 ","$41,400,000.00 "
Beyond the Lights,9/6/2014,Romance,,Gina Prince-Bythewood,Gugu Mbatha-Raw,"$7,000,000.00 ","$14,600,000.00 "
Big Eyes,12/25/2014,Biography,,Tim Burton,Amy Adams,"$10,000,000.00 ","$29,300,000.00 "
Black Mass,9/4/2015,Action,,Scott Cooper,Johnny Depp,"$53,000,000.00 ","$99,800,000.00 "
Blackhat,1/8/2015,Action,,Michael Mann,Chris Hemsworth,"$70,000,000.00 ","$19,700,000.00 "
Blended,5/23/2014,Comedy,,Frank Coraci,Adam Sandler,"$40,000,000.00 ","$128,000,000.00 "
Blue Jasmine,7/26/2013,Drama,,Woody Allen,Alec Baldwin,"$18,000,000.00 ","$97,500,000.00 "
