Cast Member,Average Box Office Revenue ($)
Elsie Fisher,970800000.0
Miranda Cosgrove,970800000.0
Dana Gaier,970800000.0
Ian McKellen,956000000.0
Robert Pattinson,829700000.0
Michael Sheen,829700000.0
Billy Burke,829700000.0
Mackenzie Foy,829700000.0
Jordana Brewster,788700000.0
Gina Carano,782600000.0
Morena Baccarin,782600000.0
T. J. Miller,782600000.0
Andrew Garfield,757900000.0
Martin Sheen,757900000.0
Donald Sutherland,755400000.0
Noah Baumbach(screenplay); Ben Stiller,746900000.0
David Schwimmer,746900000.0
Evangeline Lilly,737700000.0
Hannibal Buress,724900000.0
Eric Stonestreet,724900000.0
Cobie Smulders,714400000.0
Andy Serkis,710600000.0
Wes Bentley,694400000.0
Jared Leto,636700000.0
Ray Romano,622650000.0
Craig Ferguson,621500000.0
Ayush Tandon,609000000.0
Gérard Depardieu,609000000.0
Irrfan Khan,609000000.0
Suraj Sharma,609000000.0
Liam Hemsworth,576700000.0
Jemaine Clement,562050000.0
Richard Armitage,558850000.0
Seann William Scott,556000000.0
Kris Wu,553800000.0
Zhang Yuqi,553800000.0
Lin Yun,553800000.0
Show Luo,553800000.0
Deng Chao,553800000.0
Daniella Kertesz,540000000.0
Jennifer Lawrence,533314285.71428573
Ken Watanabe,529000000.0
Aaron Taylor-Johnson,529000000.0
Max Charles,527000000.0
Dustin Hoffman,519900000.0
Sally Field,516600000.0
Diane Lane,516300000.0
Michelle Rodriguez,514450000.0
Bruno Mars,500100000.0
Jeremy Howard,493300000.0
Johnny Knoxville,493300000.0
Noel Fisher,493300000.0
Choi Min-sik,463400000.0
Sacha Baron Cohen,463150000.0
Luke Grimes,461750000.0
Josh Hutcherson,459166666.6666667
Kristen Wiig,457675000.0
Anne Hathaway,452900000.0
Colm Wilkinson,441800000.0
Will Poulter,440650000.0
Queen Latifah,439633333.3333333
Leonardo DiCaprio,436466666.6666667
Jada Pinkett Smith,435550000.0
Travis Fimmel,433500000.0
Michael Fassbender,432575000.0
Paul Walker,428850000.0
Ed Skrein,427600000.0
Bruce Dern,425400000.0
Denis Leary,424933333.3333333
Woody Harrelson,420960000.0
Kristen Stewart,417800000.0
Henry Cavill,416850000.0
Hiroyuki Sanada,414800000.0
Hal Yamanouchi,414800000.0
Tao Okamoto,414800000.0
Jesse Eisenberg,414500000.0
Louis C.K.,411200000.0
Rinko Kikuchi,411000000.0
Ellen McLain,411000000.0
Kodi Smit-McPhee,408850000.0
Halle Berry,408250000.0
Scarlett Johansson,407933333.3333333
Sam Spruell,396600000.0
Ian McShane,396600000.0
Michael Caine,391300000.0
John Rhys-Davies,389900000.0
Paul Freeman,389900000.0
Karen Allen,389900000.0
Steve Martin,386000000.0
Matt Jones,386000000.0
Jing Boran,385200000.0
Elaine Jin,385200000.0
Jiang Wu,385200000.0
Bai Baihe,385200000.0
Giovanni Ribisi,383050000.0
Seth MacFarlane,383050000.0
Vivica A. Fox,382300000.0
Jeff Goldblum,382300000.0
Sela Ward,382300000.0
Rosie Huntington-Whiteley,378400000.0
Hugh Keays-Byrne,378400000.0
Sebastian Stan,377850000.0
Rade Sherbedgia,376100000.0
Ben Affleck,376075000.0
Elodie Yung,375700000.0
Ray Park,375700000.0
Jay Baruchel,373750000.0
Conrad Vernon,373000000.0
Christopher Knights,373000000.0
Tom McGrath,373000000.0
Chris Miller,373000000.0
Kim Dickens,369300000.0
Andy Samberg,368566666.6666667
Simon Pegg,364200000.0
Ricky Gervais,363200000.0
Robin Williams,363200000.0
Justin Bartha,362000000.0
Chris Evans,359400000.0
Neil Patrick Harris,358400000.0
Fran Drescher,358400000.0
Rebecca Ferguson,357000000.0
Tom Skerritt,356800000.0
Val Kilmer,356800000.0
James Tolkan,356800000.0
Kelly McGillis,356800000.0
Matt Damon,350400000.0
Danny DeVito,348800000.0
Taylor Swift,348800000.0
Aml Ameen,348300000.0
Julia Stiles,347900000.0
Tim Gunn,347500000.0
Jayma Mays,347500000.0
Hank Azaria,347500000.0
Nicholas Hoult,346666666.6666667
Rihanna,344500000.0
Ving Rhames,343850000.0
Vin Diesel,343133333.3333333
Martin Freeman,342333333.3333333
Chris Rock,340000000.0
Famke Janssen,339066666.6666667
Margot Robbie,338100000.0
James McAvoy,337750000.0
Sullivan Stapleton,337600000.0
Hans Matheson,337600000.0
Mila Kunis,336800000.0
Isla Fisher,336533333.3333333
Vanessa Hudgens,335300000.0
Jack Black,335050000.0
Thomas Sangster,330300000.0
Kaya Scodelario,330300000.0
Amy Adams,329460000.0
Tom Cruise,328916666.6666667
Elizabeth Banks,326666666.6666667
Jason Clarke,324250000.0
Tom Kenny,323400000.0
Glenn Berger(screenplay),323400000.0
Paul Tibbitt (director),323400000.0
Jonathan Aibel,323400000.0
Jackie Chan,319950000.0
Joel McHale,318650000.0
Emilia Clarke,318400000.0
Samuel L. Jackson,318200000.0
Shannon Kook,318000000.0
Ron Livingston,318000000.0
Lili Taylor,318000000.0
Will Smith,317180000.0
Ki Hong Lee,312300000.0
Dwayne Johnson,309316666.6666667
Luis Guzmán,308950000.0
Catherine Keener,306250000.0
Dolph Lundgren,305400000.0
Randy Couture,305400000.0
Megan Fox,305066666.6666667
Radivoje Bukvić,304700000.0
Yuliya Snigir,304700000.0
Sebastian Koch,304700000.0
Jai Courtney,302900000.0
Bill Hader,301266666.6666667
Luke Evans,300950000.0
Rosamund Pike,297633333.3333333
Jeremy Renner,296800000.0
Eva Green,291550000.0
Adam Sandler,290260000.0
Ryan Reynolds,290128571.4285714
Zoë Kravitz,288900000.0
Hugh Jackman,288775000.0
Matthew Fox,287300000.0
Bill Pullman,287300000.0
Brittany Snow,287100000.0
Skylar Astin,287100000.0
Alan Ritchson,286550000.0
Andrea Riseborough,286200000.0
Alice Braga,286100000.0
Jodie Foster,286100000.0
Wagner Moura,286100000.0
Paula Patton,282700000.0
Selena Gomez,281066666.6666667
Corey Stoll,280350000.0
Juliette Binoche,276950000.0
Rachel Weisz,276100000.0
Ty Burrell,275700000.0
Ariel Winter,275700000.0
Stephen Colbert,275700000.0
David Strathairn,275300000.0
Hal Holbrook,275300000.0
Daniel Day-Lewis,275300000.0
Rob Riggle,275150000.0
James Caan,274300000.0
Charlize Theron,274120000.0
Julianne Moore,273775000.0
Paul Rudd,271800000.0
Christoph Waltz,268950000.0
Ansel Elgort,268150000.0
Leslie Mann,267233333.33333334
Patrick Wilson,266466666.66666666
Elizabeth Olsen,265800000.0
Albert Brooks,262400000.0
Jessica Chastain,262257142.85714287
Angelina Jolie,261600000.0
Clark Duke,261066666.66666666
Emma Stone,259166666.66666666
Eric Ladin,256899999.99999997
Alfre Woodard,256899999.99999997
Brian Howe,256899999.99999997
Annabelle Wallis,256899999.99999997
Theo James,255133333.33333334
Jamie Foxx,254733333.33333334
Mark Ruffalo,253633333.33333334
Jeff Daniels,253400000.0
Keri Russell,252733333.33333334
Mark Wahlberg,251975000.0
Dylan O'Brien,251200000.0
Gary Oldman,250475000.0
Steve Buscemi,250200000.0
Steve Carell,250160000.0
Nicolas Cage,249133333.33333334
John Leguizamo,248016666.66666666
David Spade,247000000.0
Taylor Lautner,247000000.0
Bill Melendez,246200000.0
Noah Johnston,246200000.0
AJ Teece,246200000.0
Noah Schnapp,246200000.0
Hadley Belle Miller,246200000.0
Michelle Monaghan,244900000.0
J. K. Simmons,244800000.0
Will Arnett,244550000.0
Kevin Costner,244366666.66666666
Jackie Earle Haley,244100000.0
Zoe Kravitz,243800000.0
Jaden Smith,243800000.0
Isabelle Fuhrman,243800000.0
Charlie Hunnam,242850000.0
Laura Linney,242500000.0
Brian Tee,242500000.0
Stephen Amell,242500000.0
Joel Kinnaman,241025000.0
Vera Farmiga,240633333.33333334
Linda Cardellini,240400000.0
Sienna Guillory,240200000.0
Boris Kodjoe,240200000.0
Colin Salmon,240200000.0
Milla Jovovich,240200000.0
Nick Offerman,239150000.0
Danny McBride,236450000.0
Brea Bee,236400000.0
Miranda Hart,235700000.0
Benedict Cumberbatch,235466666.66666666
Alyson Hannigan,235000000.0
Jason Biggs,235000000.0
Eugene Levy,235000000.0
Tara Reid,235000000.0
Kimberly Williams-Paisley,234800000.0
Jason Lee,234800000.0
Josh Green,234800000.0
Allen Leech,233600000.0
Keira Knightley,233600000.0
Rory Kinnear,233600000.0
Zach Galifianakis,233450000.0
Tony Hale,232350000.0
Taron Egerton,230300000.0
Sean Bean,229900000.0
Demian Bichir,229900000.0
Kaitlin Olson,229900000.0
Morgan Freeman,228914285.7142857
Anna Faris,226850000.0
Gerard Butler,226440000.0
Zoe Bell,226300000.0
America Ferrera,225433333.33333334
James Badge Dale,223533333.33333334
Michelle Dockery,222800000.0
Lupita Nyong'o,222800000.0
Jennifer Lopez,221800000.0
Tom Hardy,219920000.0
Edgar Ramirez,219500000.0
Chris Pratt,218633333.33333334
Alexia Fast,218300000.0
Guy Pearce,217800000.0
Kate McKinnon,217500000.0
Leslie Jones,217500000.0
Oscar Isaac,217400000.0
Kevin James,217357142.85714287
Ben Foster,217250000.0
Sarah Gadon,217100000.0
William Houston,217100000.0
Samantha Barks,217100000.0
Alec Sulkin,216700000.0
Wellesley Wild(screenplay) Mark Wahlberg,216700000.0
Shailene Woodley,215900000.0
Kevin Hart,214785714.2857143
Mark Strong,214750000.0
Jonah Hill,214550000.0
Toby Kebbell,214300000.0
Russell Crowe,213950000.0
Channing Tatum,213333333.33333334
Mireille Enos,212133333.33333334
Shia LaBeouf,211800000.0
Dan Stevens,211000000.0
Eddie Redmayne,209900000.0
John Cho,208500000.0
Liam Cunningham,208100000.0
Charlie Day,207866666.66666666
Alfred Molina,207400000.0
Mel Gibson,206200000.0
Ed Helms,205800000.0
Idris Elba,205100000.0
James Woods,205000000.0
Maggie Grace,204150000.0
Ramón Rodríguez,203300000.0
Logan Lerman,202500000.0
Yvette Nicole Brown,202200000.0
Mary Birdsong,202200000.0
Corey Hawkins,201600000.0
