Director,Total Gross Profit ($)
Chris Renaud,1823500000.0
Francis Lawrence,1123800000.0
Zack Snyder,1065700000.0
Steve Martino,929200000.0
Bryan Singer,914500000.0
Phil Lord,802500000.0
Ridley Scott,795600000.0
James Wan,734400000.0
Tim Miller,724600000.0
Bill Condon,709700000.0
Steven Spielberg,707700000.0
Peter Jackson,706000000.0
Christopher McQuarrie,690600000.0
Justin Lin,686700000.0
Genndy Tartakovsky,666400000.0
Seth MacFarlane,647100000.0
David Ayer,629100000.0
Eric Darnell,601900000.0
Gary Ross,587600000.0
Wes Ball,565600000.0
Anthony Russo,544400000.0
Marc Webb,527900000.0
Jonathan Liebesman,523600000.0
Christopher Nolan,510100000.0
Clint Eastwood,497700000.0
Stephen Chow,493080000.0
Ang Lee,489000000.0
Dean DeBlois,476500000.0
Matt Reeves,475600000.0
Luc Besson,471800000.0
Chris Sanders,452200000.0
Quentin Tarantino,437200000.0
Paul Feig,431100000.0
Tom Hooper,430000000.0
Barry Sonnenfeld,398100000.0
Alejandro G. Iñárritu,398000000.0
Carlos Saldanha,397100000.0
Peyton Reed,389400000.0
Jennifer Yuh Nelson,374900000.0
Gareth Edwards,369000000.0
Marc Forster,350000000.0
Nicholas Stoller,349500000.0
Tony Scott,341800000.0
Olivier Megaton,333100000.0
Raman Hui,329200000.0
Matthew Vaughn,320400000.0
David Fincher,308300000.0
Tim Story,297800000.0
James Mangold,294800000.0
Josh Boone,294200000.0
