Genre,Total Gross Profit ($)
Action,5890240000.0
Comedy,4785200000.0
"Action, Adventure",4035900000.0
Drama,3491290000.0
"Action, Comedy",2386300000.0
Sci-Fi,2315720000.0
Family,2113400000.0
"Adventure, Comedy",1709800000.0
"Action, Fantasy",1660700000.0
"Action, Sci-Fi",1571600000.0
Adventure,1551500000.0
Horror,1541900000.0
"Comedy, Family",1284900000.0
Thriller,1267800000.0
"Action, Thriller",1138900000.0
"Sci-Fi, Action",920900000.0
"Horror, Thriller",882500000.0
"Adventure, Fantasy",818200000.0
"Action, Drama",744700000.0
"Sci-Fi, Adventure",727300000.0
"Fantasy, Drama",709700000.0
"Drama, Romance",567900000.0
"Action, Horror",525200000.0
"Sci-Fi, Fantasy",493080000.0
"Drama, Adventure",489000000.0
Crime,479200000.0
"Comedy, Drama",423500000.0
"Comedy, Action",414600000.0
"Comedy, Fantasy",409000000.0
"Biography, Drama",398800000.0
"Animation, Comedy",398200000.0
"Fantasy, Comedy",393000000.0
"Thriller, Horror",391300000.0
Musical,377300000.0
Fantasy,356900000.0
"Sci-Fi, Mystery",314300000.0
"Mystery, Thriller",301400000.0
"Comedy, Romance",283000000.0
"Comedy, Horror",281900000.0
"Sci-Fi, Horror",273400000.0
"Adventure, Family",242500000.0
"Adventure, Drama",239000000.0
"Family, Comedy",196300000.0
"Comedy, Sci-Fi",194200000.0
"Crime, Drama",179500000.0
Religious,168400000.0
Animation,161400000.0
"Drama, Horror",147100000.0
"Romance, Comedy",119100000.0
"Romance, Drama",118500000.0
"Drama, Biography",117700000.0
"Sci-Fi, Drama",114600000.0
"Adventure, Thriller",111700000.0
"Sci-Fi, Thriller",111200000.0
"Horror, Drama",100800000.0
"Comedy, Musical",98400000.0
"Action, Crime",93100000.0
"Action, Romance",76900000.0
"Fantasy, Adventure",76400000.0
"Romance, Mystery",73500000.0
"Adventure, Action",69200000.0
"Documentary, Musical",58500000.0
Mystery,55600000.0
"Romance, Thriller",50000000.0
Romance,46100000.0
Biography,38400000.0
"Horror, Comedy",36500000.0
"Romance, Fantasy",34470000.0
"Sci-Fi, Family",32300000.0
"Sci-Fi, Romance",23300000.0
"Horror, Sci-Fi",22900000.0
"Drama, Comedy",20900000.0
"Horror, Romance",19700000.0
"Biography, Documentary",18600000.0
"Horror, Action",16900000.0
"Religious, Drama",15100000.0
"Mystery, Drama",13900000.0
"Biography, Comedy",12700000.0
"Religious, Thriller",11600000.0
"Comedy, Crime",11100000.0
"Drama, Sci-Fi",6500000.0
"Religious, Comedy",5500000.0
"Drama, Sports",5300000.0
"Crime, Comedy",2700000.0
"Fantasy, Romance",100000.0
"Sci-Fi, Comedy",-800000.0
"Drama, Musical",-1300000.0
"Musical, Comedy",-2700000.0
"Crime, Romance",-3100000.0
"Drama, Fantasy",-8800000.0
"Drama, Thriller",-11400000.0
"Crime, Thriller",-12099999.999999996
"Religious, Musical",-13200000.0
"Musical, Drama",-15600000.0
"Biography, Sports",-17800000.0
"Crime, Action",-20000000.0
