Word,Total Gross Profit ($)
the,21700810000.0
of,7629200000.0
2,6102600000.0
–,2365800000.0
part,2102600000.0
dawn,1791100000.0
me,1741100000.0
hunger,1740200000.0
secret,1366200000.0
life,1188700000.0
games:,1123800000.0
mockingjay,1123800000.0
in,1104000000.0
ice,1045300000.0
age:,1045300000.0
hotel,1021000000.0
3,1002100000.0
movie,969700000.0
x-men:,914500000.0
despicable,894800000.0
madagascar,842900000.0
to,820100000.0
&,814800000.0
drift,782000000.0
continental,782000000.0
deadpool,724600000.0
five,720100000.0
twilight,709700000.0
saga:,709700000.0
breaking,709700000.0
armies,706000000.0
hobbit:,706000000.0
you,705300000.0
battle,702500000.0
and,669670000.0
impossible,667600000.0
transylvania,666400000.0
american,654900000.0
pets,649900000.0
ted,647100000.0
a,641200000.0
1,630400000.0
furious,628700000.0
fast,628700000.0
6,628700000.0
wanted,623100000.0
justice,622700000.0
v,622700000.0
superman:,622700000.0
batman,622700000.0
games,616400000.0
most,615100000.0
man,611900000.0
days,603000000.0
europe's,601900000.0
3:,601900000.0
conjuring,577500000.0
war,569500000.0
black,569300000.0
maze,565600000.0
past,547900000.0
future,547900000.0
winter,544400000.0
soldier,544400000.0
captain,544400000.0
america:,544400000.0
mission:,532300000.0
nation,532300000.0
rogue,532300000.0
dragon,531500000.0
spider-man,527900000.0
amazing,527900000.0
martian,522200000.0
now,512000000.0
planet,510200000.0
interstellar,510100000.0
see,507600000.0
men,494000000.0
mermaid,493080000.0
squad,491900000.0
pi,489000000.0
sniper,488600000.0
out,483400000.0
how,476500000.0
your,476500000.0
train,476500000.0
teenage,475800000.0
ninja,475800000.0
mutant,475800000.0
apes,475600000.0
world,472600000.0
suicide,461700000.0
divergent,460400000.0
croods,452200000.0
steel,443000000.0
lucy,423400000.0
home,422400000.0
lego,409200000.0
perfect,404200000.0
3d,401300000.0
revenant,398000000.0
rio,397100000.0
monster,395300000.0
jump,393300000.0
street,393300000.0
girl,393070000.0
rise,389500000.0
ant-man,389400000.0
les,380800000.0
misérables,380800000.0
bourne,379000000.0
fu,374900000.0
panda,374900000.0
kung,374900000.0
road,373200000.0
fury,372200000.0
raiders,371900000.0
imax,371900000.0
lost,371900000.0
experience,371900000.0
ark:,371900000.0
godzilla,369000000.0
turtles,368300000.0
apocalypse,366600000.0
pitch,356500000.0
top,355900000.0
woman,354700000.0
z,350000000.0
taken,333100000.0
2:,329200000.0
hunt,329200000.0
neighbors,325600000.0
unchained,325400000.0
django,325400000.0
journey,323200000.0
expendables,321600000.0
service,320400000.0
kingsman:,320400000.0
gun,319800000.0
runner,314300000.0
gone,308300000.0
wolverine,294800000.0
fault,294200000.0
stars,294200000.0
terminator,285600000.0
genisys,285600000.0
hard,284500000.0
white,281600000.0
night,279200000.0
dr.,278800000.0
seuss',278800000.0
lorax,278800000.0
good,275400000.0
our,274800000.0
birds,273900000.0
angry,273900000.0
warcraft,273500000.0
prometheus,273400000.0
this,265500000.0
witch,264100000.0
course,263300000.0
collision,263300000.0
snow,261070000.0
hangover,259000000.0
iii,259000000.0
chapter,258900000.0
insidious:,258900000.0
water,257700000.0
series:,256500000.0
island,256300000.0
mysterious,256300000.0
house,255700000.0
scorch,251300000.0
trials,251300000.0
runner:,251300000.0
annabelle,250399999.99999997
spongebob,249400000.0
sponge,249400000.0
movie:,249400000.0
22,246800000.0
great,246000000.0
gatsby,246000000.0
g.i.,245700000.0
retaliation,245700000.0
joe:,245700000.0
dark,245670000.0
is,243900000.0
smurfs,242500000.0
penguins,241000000.0
noah,237600000.0
tomb,236200000.0
at,236200000.0
museum:,236200000.0
game,234700000.0
jack,233800000.0
day,232900000.0
mad,228400000.0
max:,228400000.0
jason,227900000.0
an,227600000.0
empire,227600000.0
300:,227600000.0
has,226700000.0
fallen,226700000.0
huntsman,226600000.0
rim,221000000.0
pacific,221000000.0
imitation,219600000.0
day:,217300000.0
resurgence,217300000.0
independence,217300000.0
playbook,215400000.0
linings,215400000.0
silver,215400000.0
ride,213700000.0
along,213700000.0
die,212700000.0
lincoln,210300000.0
paranormal,205900000.0
shadows,203000000.0
exotic,202800000.0
marigold,202800000.0
best,202800000.0
for,198900000.0
before,196700000.0
meatballs,196300000.0
cloudy,196300000.0
chance,196300000.0
mirror,196000000.0
tomorrow,192500000.0
edge,192500000.0
from,187900000.0
with,187800000.0
argo,187800000.0
insurgent,187300000.0
₪,187140000.0
heat,186900000.0
reunion,185000000.0
earth,180700000.0
big,176600000.0
hunters,176300000.0
gretel:,176300000.0
hansel,176300000.0
epic,175399999.99999997
