Cast Member,Total Gross Profit ($)
Jennifer Lawrence,2911200000.0
Josh Hutcherson,2155000000.0
Woody Harrelson,1634800000.0
Elizabeth Banks,1564000000.0
Jesse Eisenberg,1526500000.0
Hugh Jackman,1516200000.0
Matt Damon,1509400000.0
Kristen Wiig,1492700000.0
Ryan Reynolds,1458900000.0
Anne Hathaway,1438600000.0
Dwayne Johnson,1395900000.0
Tom Cruise,1375500000.0
Liam Hemsworth,1327100000.0
Jessica Chastain,1317800000.0
Kevin Hart,1238500000.0
Michael Fassbender,1192300000.0
John Leguizamo,1176600000.0
Max Charles,1147200000.0
Michael Caine,1137200000.0
Ben Affleck,1118800000.0
Queen Latifah,1105900000.0
Henry Cavill,1097400000.0
Evangeline Lilly,1095400000.0
Steve Carell,1077800000.0
Samuel L. Jackson,1073000000.0
Amy Adams,1070300000.0
Liam Neeson,1062100000.0
Diane Lane,1058900000.0
Denis Leary,1049800000.0
Kevin James,1045500000.0
Ray Romano,1045300000.0
Bradley Cooper,1039500000.0
Morgan Freeman,1037400000.0
Adam Sandler,1037300000.0
Emma Stone,1035200000.0
Scarlett Johansson,1002800000.0
Leonardo DiCaprio,969400000.0
Seann William Scott,967000000.0
Will Smith,948900000.0
Kristen Stewart,935400000.0
James McAvoy,913000000.0
Miranda Cosgrove,894800000.0
Elsie Fisher,894800000.0
Dana Gaier,894800000.0
Jonah Hill,872800000.0
Andy Samberg,862700000.0
Jeremy Renner,857200000.0
Luke Evans,854900000.0
Luke Grimes,821700000.0
Julianne Moore,820100000.0
Richard Armitage,817700000.0
Jason Clarke,817000000.0
Jemaine Clement,806100000.0
Famke Janssen,804200000.0
Michelle Rodriguez,803900000.0
Mark Wahlberg,800900000.0
Seth Rogen,793600000.0
Rose Byrne,789000000.0
Chris Rock,783000000.0
Channing Tatum,780500000.0
Ed Skrein,772200000.0
Shailene Woodley,759000000.0
Ansel Elgort,754600000.0
Charlize Theron,745600000.0
Melissa McCarthy,742000000.0
Vin Diesel,739400000.0
Sally Field,738200000.0
Patrick Wilson,734400000.0
Louis C.K.,729400000.0
Michael Peña,727100000.0
T. J. Miller,724600000.0
